date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:29:18	11224/11224	---M-Z	200	added ('OK')	application/x-javascript	etag:%222bd8-62986062-3f960c95ed4e2c28;gz%22	https://marketifythemes.net/wp/cavani/01/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/Users/MM/Desktop/portfolio/pt/marketifythemes.net/wp/cavani/01/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://marketifythemes.net/wp/cavani/01/)
13:29:18	14592/14592	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%223b8e-62d79751-8fc0f7bed444cbb8;gz%22	https://marketifythemes.net/wp/cavani/01/wp-content/themes/cavani/framework/js/modernizr.custom.js?ver=ver_1.0.4	C:/Users/MM/Desktop/portfolio/pt/marketifythemes.net/wp/cavani/01/wp-content/themes/cavani/framework/js/modernizr.custome553.js	(from https://marketifythemes.net/wp/cavani/01/)
13:29:19	20215/20215	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%224f14-62d79751-54bc21be94f64cec;gz%22	https://marketifythemes.net/wp/cavani/01/wp-content/themes/cavani/framework/js/magnific.popup.js?ver=ver_1.0.4	C:/Users/MM/Desktop/portfolio/pt/marketifythemes.net/wp/cavani/01/wp-content/themes/cavani/framework/js/magnific.popupe553.js	(from https://marketifythemes.net/wp/cavani/01/)
13:29:19	8972/8972	---MCZ	200	added ('OK')	application/json	date:Sat,%2030%20Jul%202022%2009:29:19%20GMT	https://marketifythemes.net/wp/cavani/01/wp-json/wp/v2/pages/8	C:/Users/MM/Desktop/portfolio/pt/marketifythemes.net/wp/cavani/01/wp-json/wp/v2/pages/8.json	(from https://marketifythemes.net/wp/cavani/01/)
13:29:20	906/906	---M-Z	200	added ('OK')	text/xml	date:Sat,%2030%20Jul%202022%2009:29:21%20GMT	https://marketifythemes.net/wp/cavani/01/xmlrpc.php?rsd	C:/Users/MM/Desktop/portfolio/pt/marketifythemes.net/wp/cavani/01/xmlrpc0db0.php	(from https://marketifythemes.net/wp/cavani/01/)
13:29:21	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%22415-62985fd3-465410d9a75b265b;gz%22	https://marketifythemes.net/wp/cavani/01/wp-includes/wlwmanifest.xml	C:/Users/MM/Desktop/portfolio/pt/marketifythemes.net/wp/cavani/01/wp-includes/wlwmanifest.xml	(from https://marketifythemes.net/wp/cavani/01/)
13:29:21	169103/169103	---MCZ	200	added ('OK')	application/json	date:Sat,%2030%20Jul%202022%2009:29:22%20GMT	https://marketifythemes.net/wp/cavani/01/wp-json/	C:/Users/MM/Desktop/portfolio/pt/marketifythemes.net/wp/cavani/01/wp-json/index.html	(from https://marketifythemes.net/wp/cavani/01/)
13:29:22	2407/2407	---M-Z	200	added ('OK')	application/json	date:Sat,%2030%20Jul%202022%2009:29:23%20GMT	https://marketifythemes.net/wp/cavani/01/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmarketifythemes.net%2Fwp%2Fcavani%2F01%2F	C:/Users/MM/Desktop/portfolio/pt/marketifythemes.net/wp/cavani/01/wp-json/oembed/1.0/embedabe0.json	(from https://marketifythemes.net/wp/cavani/01/)
13:29:22	2467/2467	---M-Z	200	added ('OK')	text/xml	date:Sat,%2030%20Jul%202022%2009:29:23%20GMT	https://marketifythemes.net/wp/cavani/01/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmarketifythemes.net%2Fwp%2Fcavani%2F01%2F&format=xml	C:/Users/MM/Desktop/portfolio/pt/marketifythemes.net/wp/cavani/01/wp-json/oembed/1.0/embed5b86	(from https://marketifythemes.net/wp/cavani/01/)
13:29:22	1246/1246	---M-Z	200	added ('OK')	image/svg+xml	etag:%224de-62d79757-a2d6d3ad82622dbf;gz%22	https://marketifythemes.net/wp/cavani/01/wp-content/themes/cavani/framework/svg/searching.svg	C:/Users/MM/Desktop/portfolio/pt/marketifythemes.net/wp/cavani/01/wp-content/themes/cavani/framework/svg/searching.svg	(from https://marketifythemes.net/wp/cavani/01/)
